83	0	chr19	23041923	6434	0	chr19	22468767	6238	42	42
177	0	chr19	7494919	1129	1	chr19	7590087	1161	42	40
197	0	chr19	46286176	13818	0	chr19	46765336	13943	42	42
288	0	chr19	36244729	10819	0	chr19	36745142	10979	42	42
458	0	chr19	32210012	9428	1	chr19	36832116	11004	42	34
601	0	chr19	3909853	271	1	chr19	3922275	277	42	42
602	0	chr19	25351870	7147	1	chr19	25376235	7154	42	42
711	0	chr19	28229621	8128	0	chr19	27983277	8051	42	42
775	0	chr19	40964930	12289	1	chr19	41036736	12313	42	42
782	1	chr19	41390888	12410	1	chr19	34916158	10345	42	42
