# Aminoacid	Hydrophobicity	Membrane	Flexibility	Volume	Buried	Helix	Beta
Alanine	0.61	1.56	0.357	52.6	91.5	1.42	0.83
Arginine	0.6	0.45	0.529	109.1	202	0.98	0.93
Asparagine	0.06	0.27	0.463	75.7	135.2	0.67	0.89
Aspartic	0.46	0.14	0.511	68.4	124.5	1.01	0.54
Cysteine	1.07	1.23	0.346	68.3	117.7	0.7	1.19
Glutamine	0	0.51	0.493	89.7	161.1	1.11	1.1
Glutamic	0.47	0.23	0.497	84.7	155.1	1.51	0.37
Glycine	0.07	0.62	0.544	36.3	66.4	0.57	0.75
Histidine	0.61	0.29	0.323	91.9	167.3	1	0.87
Isoleucine	2.22	1.67	0.462	102	168.8	1.08	1.6
Leucine	1.53	2.93	0.365	102	167.9	1.21	1.3
Lysine	1.15	0.15	0.466	105.1	171.3	1.16	0.74
Methionine	1.18	2.96	0.295	97.7	170.8	1.45	1.05
Phenylalanine	2.02	2.03	0.314	113.9	203.4	1.13	1.38
Proline	1.95	0.76	0.509	73.6	129.3	0.57	0.55
Serine	0.05	0.81	0.507	54.9	99.1	0.77	0.75
Threonine	0.05	0.91	0.444	71.2	122.1	0.83	1.19
Tryptophan	2.65	1.08	0.305	135.4	237.6	1.08	1.37
Tyrosine	1.88	0.68	0.42	116.2	203.6	0.69	1.47
Valine	1.32	1.14	0.386	85.1	141.7	1.06	1.7
